departement,population
01,643350
02,534490
03,337988
04,163915
05,141284
06,1083310
07,325712
08,273579
09,153153
10,310020
11,370260
12,279206
13,2024162
14,694002
15,145143
16,352335
17,644303
18,304256
19,241464
21,533819
22,598814
23,118638
24,413606
25,539067
26,511553
27,601843
28,433233
29,909028
2A,157249
2B,177689
30,744178
31,1362672
32,191091
33,1583384
34,1144892
35,1060199
36,222232
37,606511
38,1258722
39,260188
40,407444
41,331915
42,762941
43,227283
44,1394909
45,678105
46,173828
47,332842
48,76601
49,813493
50,496883
51,568895
52,175640
53,307445
54,733481
55,187187
56,750863
57,1043522
58,207182
59,2604361
60,824503
61,283372
62,1468018
63,653742
64,677309
65,228530
66,474452
67,1125559
68,764030
69,1843319
70,236659
71,553595
72,566506
73,431174
74,807360
75,2187526
76,1254378
77,1403997
78,1438266
79,374351
80,572443
81,387890
82,258349
83,1058740
84,559479
85,675247
86,436876
87,374426
88,367673
89,338291
90,142622
91,1296130
92,1609306
93,1623111
94,1387926
95,1228618
971,390253
972,372594
973,268700
974,853659
976,256518
