precinct_name,votes_yes,votes_no,percent,pnum
# AB - Central Absentee Precinct,3052,3024,50.23041474654379,NA
# EV - Central Absentee Precinct,10973,9226,54.324471508490525,NA
101 - ONE HUNDRED ONE,126,267,32.06106870229007,101
102 - ONE HUNDRED TWO,216,421,33.90894819466248,102
104 - ONE HUNDRED FOUR,351,706,33.207190160832546,104
105 - ONE HUNDRED FIVE,315,673,31.88259109311741,105
106 - ONE HUNDRED SIX,277,734,27.398615232443124,106
111 - ONE HUNDRED ELEVEN,297,590,33.483652762119505,111
112 - ONE HUNDRED TWELVE,245,472,34.17015341701534,112
113 - ONE HUNDRED THIRTEEN,361,793,31.28249566724437,113
114 - ONE HUNDRED FOURTEEN,382,911,29.543696829079657,114
115 - ONE HUNDRED FIFTEEN,269,513,34.39897698209718,115
203 - TWO HUNDRED THREE,164,393,29.443447037701976,203
204 - TWO HUNDRED FOUR,310,772,28.650646950092423,204
206 - TWO HUNDRED SIX,132,281,31.961259079903147,206
207 - TWO HUNDRED SEVEN,350,827,29.73661852166525,207
208 - TWO HUNDRED EIGHT,300,740,28.846153846153843,208
213 - TWO HUNDRED THIRTEEN,413,626,39.7497593840231,213
214 - TWO HUNDRED FOURTEEN,184,278,39.82683982683983,214
215 - TWO HUNDRED FIFTEEN,362,445,44.85749690210657,215
301 - THREE HUNDRED ONE,260,88,74.71264367816092,301
302 - THREE HUNDRED TWO,227,230,49.671772428884026,302
303 - THREE HUNDRED THREE,262,209,55.62632696390658,303
304 - THREE HUNDRED FOUR,429,243,63.83928571428571,304
305 - THREE HUNDRED FIVE,338,364,48.148148148148145,305
306 - THREE HUNDRED SIX,226,201,52.92740046838408,306
307 - THREE HUNDRED SEVEN,228,379,37.56177924217463,307
308 - THREE HUNDRED EIGHT,233,468,33.238231098430816,308
309 - THREE HUNDRED NINE,181,255,41.51376146788991,309
310 - THREE HUNDRED TEN,116,18,86.56716417910447,310
402 - FOUR HUNDRED TWO,442,1100,28.664072632944226,402
404 - FOUR HUNDRED FOUR,512,563,47.627906976744185,404
409 - FOUR HUNDRED NINE,361,629,36.464646464646464,409
410 - FOUR HUNDRED TEN,425,473,47.32739420935412,410
412 - FOUR HUNDRED TWELVE,458,391,53.94581861012956,412
413 - FOUR HUNDRED THIRTEEN,305,586,34.231200897867566,413
414 - FOUR HUNDRED FOURTEEN,339,731,31.68224299065421,414
415 - FOUR HUNDRED FIFTEEN,344,473,42.10526315789473,415
501 - FIVE HUNDRED ONE,441,738,37.404580152671755,501
503 - FIVE HUNDRED THREE,492,584,45.72490706319702,503
504 - FIVE HUNDRED FOUR,493,791,38.39563862928349,504
505 - FIVE HUNDRED FIVE,182,410,30.743243243243246,505
508 - FIVE HUNDRED EIGHT,190,458,29.32098765432099,508
509 - FIVE HUNDRED NINE,352,222,61.32404181184668,509
510 - FIVE HUNDRED TEN,431,415,50.945626477541374,510
602 - SIX HUNDRED TWO,292,42,87.42514970059881,602
603 - SIX HUNDRED THREE,435,250,63.503649635036496,603
604 - SIX HUNDRED FOUR,336,168,66.66666666666666,604
606 - SIX HUNDRED SIX,501,211,70.36516853932584,606
607 - SIX HUNDRED SEVEN,325,462,41.29606099110546,607
609 - SIX HUNDRED NINE,692,546,55.896607431340875,609
610 - SIX HUNDRED TEN,316,75,80.81841432225065,610
701 - SEVEN HUNDRED ONE,350,63,84.7457627118644,701
702 - SEVEN HUNDRED TWO,372,216,63.26530612244898,702
703 - SEVEN HUNDRED THREE,475,341,58.2107843137255,703
705 - SEVEN HUNDRED FIVE,322,454,41.49484536082475,705
706 - SEVEN HUNDRED SIX,666,409,61.95348837209303,706
707 - SEVEN HUNDRED SEVEN,577,883,39.52054794520548,707
708 - SEVEN HUNDRED EIGHT,524,615,46.00526777875329,708
802 - EIGHT HUNDRED TWO,361,99,78.47826086956522,802
806 - EIGHT HUNDRED SIX,348,117,74.83870967741936,806
810 - EIGHT HUNDRED TEN,319,113,73.8425925925926,810
811 - EIGHT HUNDRED ELEVEN,432,98,81.50943396226415,811
812 - EIGHT HUNDRED TWELVE,276,191,59.100642398286936,812
814 - EIGHT HUNDRED FOURTEEN,288,66,81.35593220338984,814
902 - NINE HUNDRED TWO,171,30,85.07462686567165,902
903 - NINE HUNDRED THREE,439,120,78.53309481216458,903
908 - NINE HUNDRED EIGHT,426,132,76.34408602150538,908
909 - NINE HUNDRED NINE,484,202,70.55393586005832,909
910 - NINE HUNDRED TEN,450,118,79.22535211267606,910
911 - NINE HUNDRED ELEVEN,476,92,83.80281690140845,911
