pnum,pwhite,pblack,population
701,2.1,94.1,3554
602,4.5,91.4,4796
310,1.8,91,2263
610,6,84.1,3694
301,12.4,80.6,2131
802,10.8,78.3,2835
606,16.1,76.5,2990
702,16.4,75.7,3124
604,16.7,75.1,2304
603,17.8,74.2,2810
811,14.4,72.1,4067
304,20.5,71.5,2556
509,19.8,70.6,3564
911,9.7,69.3,2967
706,22.3,67.6,4781
703,23.8,67.4,2967
908,18.9,66.6,4313
306,24.9,64.9,2447
303,27.7,63.7,1514
909,19.4,63.5,3924
302,33.2,62.5,2132
814,9.6,61,2833
903,12.2,59.1,4692
812,15.8,56.5,5223
510,32.3,55.9,3488
305,35.2,51.9,2821
810,13.2,49.2,3910
412,36.6,47.5,3541
806,10.6,47.3,6415
910,11.5,46.2,5110
503,47.8,43.8,3430
609,42.6,42.9,5766
410,46.1,40.3,3459
404,46.5,39.8,3930
213,46.1,34.4,5688
705,52.7,33.7,2154
307,65.8,25.6,2381
708,58.3,25.4,5357
504,63.2,23.5,5078
902,5.4,23.3,4594
707,65.5,21.9,4321
206,59.1,21.2,2228
214,47.4,20.3,5154
607,58.8,18.3,4571
501,70.7,17.3,3154
415,75.1,17,2358
308,75.3,16.9,2278
309,77,16.3,1713
508,74.1,15.8,1648
409,74.3,15.4,2456
203,77.6,15.4,2011
505,62.5,14.8,3638
215,74.2,13.1,2683
413,82,10.2,2240
102,84.8,9.2,1693
402,81,8.7,3694
204,81,7.7,3390
414,82.1,7.4,2527
101,73,7.1,2820
113,83.3,4.6,2989
112,84.3,4,2041
208,86.2,3.9,2797
114,86.2,3,3496
207,88.3,2.7,3247
105,89.2,1.9,2430
111,89.1,1.9,2288
115,92,1.7,1966
104,91.9,1.3,2539
106,94.6,1.3,2637
